OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,PropertyGFATotal - PropertyGFAParking,Densite_etage,Age,Pourc_elec,Pourc_gas,Pourc_steam
353,2016,NonResidential,Large Office,Safeco Plaza,1001 Fourth Avenue,Seattle,WA,98154.0,0942000300,7,Downtown,47.60615,-122.33388,1969,1.0,49,1123435,368980,754455,"Financial Office, Food Sales, Office, Other, Parking",Office,808980.0,Parking,232248.0,Other,30329.0,20162015201420122008,89.0,52.70000076,55.5,149.0,154.6999969,45163308.0,47518124.0,0.0,11248209.0,38378889.0,67844.14844,6784415.0,False,,Compliant,,627.87,0.56,754455,24.5,54,0.8497802906731279,0.15021962075940054,0.0
354,2016,NonResidential,Large Office,Fourth & Madison,925 Fourth Avenue,Seattle,WA,98104.0,0942000345,7,Downtown,47.60549,-122.33319,2002,1.0,37,1052469,164420,888049,"Convenience Store without Gas Station, Data Center, Financial Office, Fitness Center/Health Club/Gym, Office, Other, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc), Restaurant",Office,765351.0,Parking,185581.0,Financial Office,103478.0,2016201520142013201220112010200920082007200620052004,93.0,46.29999924,47.20000076,145.3000031,148.3000031,41213584.0,42071712.0,0.0,12079009.0,41213579.0,0.0,0.0,False,,Compliant,,287.32,0.27,888049,18.5,21,0.9999998786807767,0.0,0.0
355,2016,NonResidential,Large Office,901 Fifth Avenue,901 Fifth Avenue,Seattle,WA,98164.0,0942000365,7,Downtown,47.60616,-122.33165,1973,1.0,42,617684,171500,446184,"Financial Office, Office, Parking, Retail Store",Office,581558.0,Parking,189600.0,Retail Store,18026.0,201520142013,28.0,115.9000015,119.4000015,361.2000122,372.0,69519808.0,71568952.0,882983.5,20116302.0,68636822.0,0.0,0.0,False,,Compliant,,546.65,0.88,446184,21.0,50,0.987298785405161,0.0,0.012701178633865043
356,2016,NonResidential,Large Office,The Central Building,810 Third Avenue,Seattle,WA,98104.0,0942000550,7,Downtown,47.60471,-122.33261,1907,1.0,8,201480,0,201480,"Non-Refrigerated Warehouse, Office, Retail Store",Office,161762.0,Retail Store,29094.0,Non-Refrigerated Warehouse,10624.0,,91.0,44.29999924,47.20000076,123.5,129.3999939,8921778.0,9510490.0,1619966.875,2140038.0,7301810.0,0.0,0.0,False,,Compliant,,175.95,0.87,201480,4.0,116,0.8184254304467115,0.0,0.18157444345734672
357,2016,Nonresidential COS,Large Office,Seattle Municipal Tower (2030),700 Fifth Avenue,Seattle,WA,98104.0,0942000720,3,Downtown,47.60501,-122.32988,1990,1.0,63,1354987,159600,1195387,"Office, Parking",Office,1191115.0,Parking,159599.0,Other,18656.0,2014201320112010200920082007,89.0,50.40000153,50.40000153,158.1000061,158.1000061,61576184.0,61576184.0,0.0,18046946.0,61576180.0,0.0,0.0,False,,Compliant,,429.27,0.32,1195387,31.5,33,0.99999993503982,0.0,0.0
358,2016,Nonresidential COS,Large Office,Justice Center,610 5th Ave,Seattle,WA,98104.0,0942000750,3,Downtown,47.60421,-122.32919,2001,1.0,14,310490,0,310490,"Data Center, Office, Other",Office,269284.0,Other,28394.0,Data Center,600.0,,,71.0,73.59999847,187.5,189.5,21169502.0,21960822.0,0.0,4725684.5,16124036.0,50454.64844,5045465.0,False,,Compliant,,380.37,1.23,310490,7.0,22,0.7616634533963057,0.23833649936592746,0.0
359,2016,Nonresidential COS,Large Office,City Hall,600 4th Ave,Seattle,WA,98104.0,0942000810,7,Downtown,47.60377,-122.32971,2003,1.0,8,199530,30660,168870,"Office, Other, Parking, Restaurant",Office,160418.0,Parking,18590.0,Other,17480.0,,69.0,73.19999695,77.40000153,178.1000061,181.0,13214416.0,13972700.0,0.0,2561244.0,8738965.0,44754.50781,4475451.0,False,,Compliant,,298.61,1.5,168870,4.0,20,0.661320560817822,0.338679439182178,0.0
360,2016,NonResidential,Large Office,Chinook Building,401 Fifth Ave.,Seattle,WA,98104.0,0942001105,7,Downtown,47.60249,-122.32854,2006,1.0,13,372242,52703,319539,"Office, Parking",Office,319539.0,Parking,52703.0,,,,98.0,43.29999924,43.40000153,119.0999985,116.9000015,13843866.0,13862720.0,0.0,3296889.25,11248986.0,25948.78125,2594878.0,False,,Compliant,,216.24,0.58,319539,6.5,17,0.8125610288339977,0.1874388266976869,0.0
361,2016,NonResidential,Large Office,Yesler Building,400 YESLER WAY,Seattle,WA,98104.0,0942001150,7,Downtown,47.60193,-122.32812,1909,1.0,7,114395,8296,106099,Office,Office,96582.0,,,,,,99.0,28.39999962,30.79999924,65.40000153,67.80000305,2746560.75,2970604.25,0.0,480858.5,1640689.0,11058.71094,1105871.0,False,,Compliant,,70.17,0.61,106099,3.5,114,0.5973612635365885,0.4026384633946291,0.0
363,2016,NonResidential,Retail Store,University Book Store,4326 University Way NE,Seattle,WA,98105.0,1142000075,4,Northeast,47.66024,-122.31278,1978,1.0,2,89200,0,89200,Retail Store,Retail Store,89200.0,,,,,,83.0,72.40000153,75.19999695,204.8999939,206.8000031,6461937.0,6707359.5,0.0,1611701.375,5499125.0,9628.110352,962811.0,False,,Compliant,,89.47,1.0,89200,1.0,45,0.8510025709009543,0.14899727434668583,0.0
364,2016,NonResidential,Large Office,UW Tower Bldg Complex,4333 Brooklyn Ave,Seattle,WA,98195.0,1142000280,4,Northeast,47.66072,-122.31466,1971,1.0,23,474546,0,474546,Office,Office,474546.0,,,,,,77.0,60.0,63.20000076,188.3000031,198.5,28450436.0,29997380.0,0.0,8338345.0,28450433.0,0.0,0.0,False,,Compliant,,198.34,0.42,474546,11.5,52,0.9999998945534613,0.0,0.0
365,2016,NonResidential,Other,UW Tower Data Center,4333 BROOKLYN AVE NE,Seattle,WA,98185.0,1142000290,4,Northeast,47.6606,-122.31512,1969,1.0,5,36000,0,36000,Data Center,Data Center,36000.0,,,,,2016201520142013,96.0,834.4000244,834.4000244,2620.0,2620.0,30038490.0,30038490.0,0.0,8803777.0,30038487.0,0.0,0.0,False,,Compliant,,209.41,5.82,36000,2.5,54,0.9999999001281356,0.0,0.0
366,2016,NonResidential,Small- and Mid-Sized Office,University District Office Buiding,1107 NE 45th St,Seattle,WA,98105.0,1142000500,4,Northeast,47.661,-122.31626,1961,0.0,5,99005,0,99005,Office,Office,79555.0,,,,,,70.0,59.40000153,63.0,137.6000061,140.6999969,4728488.5,5008123.5,0.0,839159.3125,2863212.0,18652.76563,1865277.0,False,,Compliant,,119.03,1.2,99005,5.0,62,0.6055237313149857,0.39447637442704997,0.0
367,2016,NonResidential,Large Office,4311 Roosevelt,4311 11th Avenue NE,Seattle,WA,98105.0,1142000530,4,Northeast,47.66065,-122.31689,2002,1.0,6,135051,44248,90803,"Office, Parking",Office,95943.0,Parking,42500.0,,,2017201620152014201320112008,88.0,46.09999847,46.09999847,144.8999939,144.8999939,4426136.0,4426136.0,0.0,1297226.125,4426136.0,0.0,0.0,False,,Compliant,,30.86,0.23,90803,3.0,21,1.0,0.0,0.0
368,2016,NonResidential,Large Office,4300 Roosevelt,4300 Roosevelt Way NE,Seattle,WA,98105.0,1142000550,4,Northeast,47.65999,-122.31741,2002,1.0,5,220649,82720,137929,"Office, Parking",Office,145754.0,Parking,90000.0,,,201720162015201420132008,93.0,48.29999924,48.29999924,151.8000031,151.8000031,7046345.5,7046345.5,0.0,2065165.5,7046345.0,0.0,0.0,False,,Compliant,,49.12,0.22,137929,2.5,21,0.9999999290412314,0.0,0.0
369,2016,NonResidential,Self-Storage Facility,Seattle Vault Self Storage,1800 Terry Ave.,Seattle,WA,98101.0,0660001580,7,Downtown,47.61591,-122.33238,1964,1.0,5,93660,0,93660,Self-Storage Facility,Self-Storage Facility,93660.0,,,,,,,9.300000191,10.0,29.29999924,31.5,873221.875,940359.1875,0.0,255926.7031,873222.0,0.0,0.0,False,,Compliant,,6.09,0.07,93660,2.5,59,1.00000014314804,0.0,0.0
